1	program		1
1	test		34
1	;		40
2	const		7
2	PI		34
2	=		32
2	3.14		36
2	;		40
3	var		2
4	a		34
4	:		50
4	int		34
4	;		40
5	b		34
5	:		50
5	string		34
5	;		40
6	begin		8
7	a		34
7	=		32
7	2		35
7	;		40
8	bd		34
8	=		32
8	"1"		39
8	;		40
9	if		9
9	A		34
9	and		34
9	B		34
9	and		34
9	C		34
9	>		29
9	D		34
10	if		9
10	A		34
10	<		28
10	B		34
11	then		10
11	F		34
11	=		32
11	1		35
11	;		40
12	else		11
12	F		34
12	=		32
12	0		35
12	;		40
13	else		11
13	G		34
13	=		32
13	G		34
13	+		24
13	1		35
13	;		40
15	end		18
15	.		49
